example_id,session_index,attempts,orig_input,orig_output,orig_total,no_reason_input,no_reason_output,no_reason_total,output_only_no_reason_input,output_only_no_reason_output,output_only_no_reason_total,reasoning_output_delta,reasoning_verifier_input_delta,reasoning_generation_input_delta,stored_full,stored_no_reason,implicit_only
dev_0054,6,1,3982,192,4174,3788,97,3885,3982,97,4079,95,95,99,129,34,26
dev_0054,7,1,4822,165,4987,4640,78,4718,4822,78,4900,87,87,95,115,28,20
dev_0054,8,1,5756,173,5929,5581,85,5666,5756,85,5841,88,88,87,123,35,27
dev_0054,9,1,6758,181,6939,6578,89,6667,6758,89,6847,92,92,88,127,35,27
dev_0054,10,1,7529,192,7721,7343,98,7441,7529,98,7627,94,94,92,138,44,36
dev_0063,1,1,1262,175,1437,1180,93,1273,1262,93,1355,82,82,0,115,33,25
dev_0063,2,1,1856,158,2014,1706,90,1796,1856,90,1946,68,68,82,91,23,15
dev_0063,3,1,2458,165,2623,2306,81,2387,2458,81,2539,84,84,68,115,31,23
dev_0063,4,1,3296,177,3473,3122,87,3209,3296,87,3383,90,90,84,117,27,19
dev_0063,5,1,3854,168,4022,3674,78,3752,3854,78,3932,90,90,90,119,29,21
dev_0063,6,1,4471,205,4676,4287,111,4398,4471,111,4582,94,94,90,134,40,32
dev_0063,7,1,5326,200,5526,5114,82,5196,5326,82,5408,118,118,94,154,36,28
dev_0063,8,1,6323,191,6514,6108,94,6202,6323,94,6417,97,97,118,131,34,26
dev_0063,9,1,6904,184,7088,6709,86,6795,6904,86,6990,98,98,97,131,33,25
dev_0060,1,1,1195,126,1321,1117,48,1165,1195,48,1243,78,78,0,116,38,30
dev_0060,2,1,1840,170,2010,1659,67,1726,1840,67,1907,103,103,78,130,27,19
dev_0060,3,1,2655,162,2817,2459,69,2528,2655,69,2724,93,93,103,119,26,18
dev_0060,4,1,3403,197,3600,3208,95,3303,3403,95,3498,102,102,93,138,36,28
dev_0060,5,1,3970,176,4146,3780,88,3868,3970,88,4058,88,88,102,126,38,30
dev_0060,6,1,5004,189,5193,4823,96,4919,5004,96,5100,93,93,88,130,37,29
dev_0060,7,1,5439,181,5620,5252,87,5339,5439,87,5526,94,94,93,131,37,29
dev_0060,8,1,5741,194,5935,5545,92,5637,5741,92,5833,102,102,94,142,40,32
dev_0060,9,1,6320,150,6470,6147,79,6226,6320,79,6399,71,71,102,102,31,23
dev_0060,10,1,7117,167,7284,6967,88,7055,7117,88,7205,79,79,71,113,34,26
dev_0065,1,1,920,105,1025,846,31,877,920,31,951,74,74,0,95,21,13
dev_0065,2,1,1682,162,1844,1529,83,1612,1682,83,1765,79,79,74,103,24,16
dev_0065,3,1,2381,161,2542,2218,77,2295,2381,77,2458,84,84,79,114,30,22
dev_0065,4,1,2868,163,3031,2692,71,2763,2868,71,2939,92,92,84,120,28,20
dev_0065,5,1,3422,178,3600,3244,92,3336,3422,92,3514,86,86,92,126,40,32
dev_0065,6,1,4178,205,4383,3975,88,4063,4178,88,4266,117,117,86,158,41,33
dev_0065,7,1,4946,198,5144,4719,88,4807,4946,88,5034,110,110,117,152,42,34
dev_0065,8,1,5778,218,5996,5554,104,5658,5778,104,5882,114,114,110,166,52,44
dev_0065,9,1,6454,181,6635,6245,86,6331,6454,86,6540,95,95,114,132,37,29
dev_0074,1,1,1036,97,1133,972,33,1005,1036,33,1069,64,64,0,87,23,15
dev_0074,2,1,1584,117,1701,1444,41,1485,1584,41,1625,76,76,64,107,31,23
dev_0074,3,1,2024,159,2183,1871,82,1953,2024,82,2106,77,77,76,109,32,24
dev_0074,4,1,2754,170,2924,2583,76,2659,2754,76,2830,94,94,77,127,33,25
dev_0074,5,1,4343,191,4534,4142,84,4226,4343,84,4427,107,107,94,148,41,33
dev_0074,6,1,4786,186,4972,4584,91,4675,4786,91,4877,95,95,107,132,37,29
dev_0078,1,1,1482,115,1597,1410,43,1453,1482,43,1525,72,72,0,105,33,25
dev_0078,2,1,2297,159,2456,2152,86,2238,2297,86,2383,73,73,72,102,29,21
dev_0078,3,1,2655,146,2801,2508,72,2580,2655,72,2727,74,74,73,105,31,23
dev_0078,4,1,3318,121,3439,3167,44,3211,3318,44,3362,77,77,74,111,34,26
dev_0078,5,1,3675,132,3807,3508,42,3550,3675,42,3717,90,90,77,122,32,24
dev_0066,1,1,1521,176,1697,1430,85,1515,1521,85,1606,91,91,0,120,29,21
dev_0066,2,1,2102,126,2228,1927,42,1969,2102,42,2144,84,84,91,116,32,24
dev_0066,3,1,2637,131,2768,2464,42,2506,2637,42,2679,89,89,84,121,32,24
dev_0066,4,1,3031,167,3198,2863,88,2951,3031,88,3119,79,79,89,120,41,33
dev_0066,5,1,3748,164,3912,3583,78,3661,3748,78,3826,86,86,79,118,32,24
dev_0066,6,1,4447,184,4631,4271,94,4365,4447,94,4541,90,90,86,125,35,27
dev_0066,7,1,4865,170,5035,4686,81,4767,4865,81,4946,89,89,90,124,35,27
dev_0066,8,1,5965,183,6148,5788,95,5883,5965,95,6060,88,88,89,123,35,27
dev_0066,9,1,6420,161,6581,6256,85,6341,6420,85,6505,76,76,88,111,35,27
dev_0076,1,1,841,118,959,761,38,799,841,38,879,80,80,0,108,28,20
dev_0076,2,1,1281,111,1392,1127,37,1164,1281,37,1318,74,74,80,101,27,19
dev_0076,3,1,1789,118,1907,1637,40,1677,1789,40,1829,78,78,74,108,30,22
dev_0076,4,1,2263,119,2382,2104,38,2142,2263,38,2301,81,81,78,109,28,20
dev_0076,5,1,2996,137,3133,2818,40,2858,2996,40,3036,97,97,81,127,30,22
dev_0076,6,1,3771,130,3901,3585,41,3626,3771,41,3812,89,89,97,120,31,23
dev_0076,7,1,4072,142,4214,3882,41,3923,4072,41,4113,101,101,89,132,31,23
dev_0076,8,1,4982,144,5126,4778,41,4819,4982,41,5023,103,103,101,134,31,23
dev_0070,1,1,1430,168,1598,1346,84,1430,1430,84,1514,84,84,0,119,35,27
dev_0070,2,1,2052,123,2175,1886,41,1927,2052,41,2093,82,82,84,113,31,23
dev_0070,3,1,2426,129,2555,2259,44,2303,2426,44,2470,85,85,82,119,34,26
dev_0070,4,1,3620,129,3749,3452,46,3498,3620,46,3666,83,83,85,119,36,28
dev_0070,5,1,4213,134,4347,4043,47,4090,4213,47,4260,87,87,83,124,37,29
dev_0070,6,1,4938,170,5108,4729,48,4777,4938,48,4986,122,122,87,160,38,30
dev_0070,7,1,5864,189,6053,5632,79,5711,5864,79,5943,110,110,122,148,38,30
dev_0070,8,1,6932,190,7122,6715,83,6798,6932,83,7015,107,107,110,148,41,33
dev_0070,9,1,7343,181,7524,7141,86,7227,7343,86,7429,95,95,107,135,40,32
dev_0070,10,1,7905,152,8057,7708,50,7758,7905,50,7955,102,102,95,142,40,32
dev_0073,1,1,875,118,993,800,43,843,875,43,918,75,75,0,108,33,25
dev_0073,2,1,1668,138,1806,1502,47,1549,1668,47,1715,91,91,75,128,37,29
dev_0073,3,1,3086,228,3314,2883,116,2999,3086,116,3202,112,112,91,156,44,36
dev_0073,4,1,3900,185,4085,3691,88,3779,3900,88,3988,97,97,112,136,39,31
dev_0073,5,1,4060,195,4255,3861,93,3954,4060,93,4153,102,102,97,142,40,32
dev_0073,6,1,4382,192,4574,4181,93,4274,4382,93,4475,99,99,102,140,41,33
dev_0073,7,1,5067,187,5254,4880,99,4979,5067,99,5166,88,88,99,129,41,33
dev_0073,8,1,6217,185,6402,6035,91,6126,6217,91,6308,94,94,88,138,44,36
dev_0073,9,1,6958,239,7197,6743,118,6861,6958,118,7076,121,121,94,168,47,39
dev_0075,1,1,1931,155,2086,1856,80,1936,1931,80,2011,75,75,0,100,25,17
dev_0075,2,1,3028,176,3204,2858,81,2939,3028,81,3109,95,95,75,130,35,27
dev_0075,3,1,3898,214,4112,3687,98,3785,3898,98,3996,116,116,95,152,36,28
dev_0075,4,1,4550,207,4757,4316,89,4405,4550,89,4639,118,118,116,150,32,24
dev_0075,5,1,5220,181,5401,5017,96,5113,5220,96,5316,85,85,118,122,37,29
dev_0075,6,1,5973,186,6159,5796,94,5890,5973,94,6067,92,92,85,127,35,27
dev_0075,7,1,7173,177,7350,6997,93,7090,7173,93,7266,84,84,92,124,40,32
dev_0075,8,1,7495,182,7677,7319,90,7409,7495,90,7585,92,92,84,131,39,31
dev_0071,1,1,1232,131,1363,1144,43,1187,1232,43,1275,88,88,0,121,33,25
dev_0071,2,1,1853,150,2003,1657,42,1699,1853,42,1895,108,108,88,140,32,24
dev_0071,3,1,2646,179,2825,2436,77,2513,2646,77,2723,102,102,108,128,26,18
dev_0071,4,1,3875,177,4052,3681,85,3766,3875,85,3960,92,92,102,121,29,21
dev_0071,5,1,4567,197,4764,4374,96,4470,4567,96,4663,101,101,92,136,35,27
dev_0071,6,1,5376,188,5564,5185,98,5283,5376,98,5474,90,90,101,128,38,30
dev_0071,7,1,5629,173,5802,5447,81,5528,5629,81,5710,92,92,90,127,35,27
dev_0071,8,1,6601,174,6775,6426,91,6517,6601,91,6692,83,83,92,122,39,31
dev_0071,9,1,6886,180,7066,6724,101,6825,6886,101,6987,79,79,83,120,41,33
dev_0071,10,1,7458,194,7652,7271,86,7357,7458,86,7544,108,108,79,150,42,34
dev_0083,1,1,1395,140,1535,1296,41,1337,1395,41,1436,99,99,0,130,31,23
dev_0083,2,1,2387,133,2520,2194,39,2233,2387,39,2426,94,94,99,123,29,21
dev_0083,3,1,2838,158,2996,2662,76,2738,2838,76,2914,82,82,94,111,29,21
dev_0083,4,1,3954,173,4127,3786,87,3873,3954,87,4041,86,86,82,125,39,31
dev_0083,5,1,4252,175,4427,4077,86,4163,4252,86,4338,89,89,86,123,34,26
dev_0083,6,1,5656,180,5836,5473,86,5559,5656,86,5742,94,94,89,133,39,31
dev_0083,7,1,5986,206,6192,5772,86,5858,5986,86,6072,120,120,94,157,37,29
dev_0079,1,1,1781,112,1893,1709,40,1749,1781,40,1821,72,72,0,102,30,22
dev_0079,2,1,2199,115,2314,2049,37,2086,2199,37,2236,78,78,72,105,27,19
dev_0079,3,1,2794,121,2915,2637,42,2679,2794,42,2836,79,79,78,111,32,24
dev_0079,4,1,3581,153,3734,3426,77,3503,3581,77,3658,76,76,79,110,34,26
dev_0079,5,1,4531,139,4670,4358,42,4400,4531,42,4573,97,97,76,129,32,24
dev_0079,6,1,5291,132,5423,5104,42,5146,5291,42,5333,90,90,97,122,32,24
dev_0079,7,1,5906,124,6030,5734,42,5776,5906,42,5948,82,82,90,114,32,24
dev_0079,8,1,7039,141,7180,6888,72,6960,7039,72,7111,69,69,82,101,32,24
dev_0079,9,1,7362,173,7535,7202,82,7284,7362,82,7444,91,91,69,135,44,36
dev_0079,10,1,8234,186,8420,8040,83,8123,8234,83,8317,103,103,91,147,44,36
dev_0080,1,1,1950,163,2113,1869,82,1951,1950,82,2032,81,81,0,105,24,16
dev_0080,2,1,2662,156,2818,2509,84,2593,2662,84,2746,72,72,81,107,35,27
dev_0080,3,1,3322,182,3504,3148,80,3228,3322,80,3402,102,102,72,135,33,25
dev_0080,4,1,3760,169,3929,3566,77,3643,3760,77,3837,92,92,102,125,33,25
dev_0080,5,1,4993,180,5173,4809,88,4897,4993,88,5081,92,92,92,132,40,32
dev_0080,6,1,5808,207,6015,5614,105,5719,5808,105,5913,102,102,92,138,36,28
dev_0080,7,1,6616,215,6831,6392,93,6485,6616,93,6709,122,122,102,158,36,28
dev_0080,8,1,7241,181,7422,7021,83,7104,7241,83,7324,98,98,122,131,33,25
dev_0085,1,1,1192,138,1330,1119,65,1184,1192,65,1257,73,73,0,95,22,14
dev_0085,2,1,2458,189,2647,2274,78,2352,2458,78,2536,111,111,73,135,24,16
dev_0085,3,1,3007,179,3186,2800,83,2883,3007,83,3090,96,96,111,130,34,26
dev_0085,4,1,3798,174,3972,3605,77,3682,3798,77,3875,97,97,96,130,33,25
dev_0085,5,1,4442,203,4645,4232,90,4322,4442,90,4532,113,113,97,146,33,25
dev_0085,6,1,5165,178,5343,4962,88,5050,5165,88,5253,90,90,113,131,41,33
dev_0085,7,1,5774,179,5953,5583,78,5661,5774,78,5852,101,101,90,141,40,32
dev_0084,1,1,1749,159,1908,1668,78,1746,1749,78,1827,81,81,0,108,27,19
dev_0084,2,1,2375,170,2545,2206,82,2288,2375,82,2457,88,88,81,123,35,27
dev_0084,3,1,2698,179,2877,2525,94,2619,2698,94,2792,85,85,88,127,42,34
dev_0084,4,1,3105,165,3270,2936,81,3017,3105,81,3186,84,84,85,122,38,30
dev_0084,5,1,4003,176,4179,3822,79,3901,4003,79,4082,97,97,84,133,36,28
dev_0084,6,1,4840,200,5040,4648,105,4753,4840,105,4945,95,95,97,137,42,34
dev_0084,7,1,6281,207,6488,6076,97,6173,6281,97,6378,110,110,95,148,38,30
dev_0086,1,1,1385,142,1527,1324,81,1405,1385,81,1466,61,61,0,84,23,15
dev_0086,2,1,1839,107,1946,1712,41,1753,1839,41,1880,66,66,61,97,31,23
dev_0086,3,1,2336,133,2469,2189,52,2241,2336,52,2388,81,81,66,123,42,34
dev_0086,4,1,3165,207,3372,2984,107,3091,3165,107,3272,100,100,81,142,42,34
dev_0086,5,1,3679,162,3841,3496,79,3575,3679,79,3758,83,83,100,115,32,24
dev_0086,6,1,4501,174,4675,4329,85,4414,4501,85,4586,89,89,83,124,35,27
dev_0086,7,1,5063,181,5244,4880,87,4967,5063,87,5150,94,94,89,125,31,23
dev_0086,8,1,5733,130,5863,5550,41,5591,5733,41,5774,89,89,94,120,31,23
dev_0082,1,1,1218,180,1398,1123,85,1208,1218,85,1303,95,95,0,119,24,16
dev_0082,2,1,1478,190,1668,1284,91,1375,1478,91,1569,99,99,95,129,30,22
dev_0082,3,1,1774,181,1955,1572,78,1650,1774,78,1852,103,103,99,133,30,22
dev_0082,4,1,2037,169,2206,1846,81,1927,2037,81,2118,88,88,103,118,30,22
dev_0082,5,1,3405,192,3597,3216,91,3307,3405,91,3496,101,101,88,137,36,28
dev_0082,6,1,4150,182,4332,3963,96,4059,4150,96,4246,86,86,101,129,43,35
dev_0082,7,1,4579,183,4762,4403,93,4496,4579,93,4672,90,90,86,130,40,32
dev_0082,8,1,5340,172,5512,5174,96,5270,5340,96,5436,76,76,90,116,40,32
dev_0082,9,1,6108,167,6275,5942,77,6019,6108,77,6185,90,90,76,130,40,32
dev_0081,1,1,1741,181,1922,1640,80,1720,1741,80,1821,101,101,0,132,31,23
dev_0081,2,1,2404,198,2602,2186,81,2267,2404,81,2485,117,117,101,150,33,25
dev_0081,3,1,3644,187,3831,3422,82,3504,3644,82,3726,105,105,117,142,37,29
dev_0081,4,1,4283,171,4454,4094,87,4181,4283,87,4370,84,84,105,119,35,27
dev_0081,5,1,4848,173,5021,4676,85,4761,4848,85,4933,88,88,84,121,33,25
dev_0081,6,1,5742,190,5932,5560,96,5656,5742,96,5838,94,94,88,133,39,31
dev_0081,7,1,6383,195,6578,6191,97,6288,6383,97,6480,98,98,94,140,42,34
dev_0081,8,1,6893,199,7092,6682,86,6768,6893,86,6979,113,113,98,159,46,38
dev_0081,9,1,7602,197,7799,7376,84,7460,7602,84,7686,113,113,113,147,34,26
dev_0095,1,1,1284,154,1438,1212,82,1294,1284,82,1366,72,72,0,93,21,13
dev_0095,2,1,2057,154,2211,1913,82,1995,2057,82,2139,72,72,72,104,32,24
dev_0095,3,1,2694,128,2822,2540,46,2586,2694,46,2740,82,82,72,118,36,28
dev_0095,4,1,3339,192,3531,3166,101,3267,3339,101,3440,91,91,82,125,34,26
dev_0095,5,1,4525,182,4707,4344,92,4436,4525,92,4617,90,90,91,126,36,28
dev_0093,1,1,1245,128,1373,1163,46,1209,1245,46,1291,82,82,0,118,36,27
dev_0093,2,1,2418,146,2564,2235,45,2280,2418,45,2463,101,101,82,136,35,27
dev_0093,3,1,3515,198,3713,3312,96,3408,3515,96,3611,102,102,101,135,33,25
dev_0093,4,1,3694,179,3873,3503,90,3593,3694,90,3784,89,89,102,121,32,24
dev_0093,5,1,4368,169,4537,4189,79,4268,4368,79,4447,90,90,89,123,33,25
dev_0093,6,1,5071,158,5229,4903,80,4983,5071,80,5151,78,78,90,112,34,26
dev_0092,1,1,1197,122,1319,1123,48,1171,1197,48,1245,74,74,0,112,38,29
dev_0092,2,1,1681,173,1854,1522,88,1610,1681,88,1769,85,85,74,117,32,24
dev_0092,3,1,2472,194,2666,2282,89,2371,2472,89,2561,105,105,85,131,26,18
dev_0092,4,1,3428,177,3605,3233,87,3320,3428,87,3515,90,90,105,123,33,25
dev_0092,5,1,3810,179,3989,3628,87,3715,3810,87,3897,92,92,90,125,33,25
dev_0092,6,1,4383,189,4572,4190,88,4278,4383,88,4471,101,101,92,134,33,25
dev_0092,7,1,4756,191,4947,4557,93,4650,4756,93,4849,98,98,101,132,34,26
dev_0091,1,1,1035,126,1161,949,40,989,1035,40,1075,86,86,0,116,30,22
dev_0091,2,1,1702,167,1869,1537,88,1625,1702,88,1790,79,79,86,104,25,17
dev_0091,3,1,2350,143,2493,2200,72,2272,2350,72,2422,71,71,79,98,27,19
dev_0091,4,1,3086,171,3257,2923,79,3002,3086,79,3165,92,92,71,124,32,24
dev_0091,5,1,3423,157,3580,3249,75,3324,3423,75,3498,82,82,92,113,31,23
dev_0091,6,1,4351,170,4521,4194,95,4289,4351,95,4446,75,75,82,112,37,29
dev_0091,7,1,4869,182,5051,4693,81,4774,4869,81,4950,101,101,75,133,32,24
dev_0091,8,1,5509,179,5688,5317,88,5405,5509,88,5597,91,91,101,124,33,25
dev_0089,1,1,937,106,1043,863,32,895,937,32,969,74,74,0,96,22,14
dev_0089,2,1,1789,135,1924,1640,60,1700,1789,60,1849,75,75,74,99,24,16
dev_0089,3,1,2321,196,2517,2134,84,2218,2321,84,2405,112,112,75,138,26,18
dev_0089,4,1,3078,184,3262,2862,80,2942,3078,80,3158,104,104,112,132,28,20
dev_0089,5,1,3740,196,3936,3527,87,3614,3740,87,3827,109,109,104,142,33,25
dev_0089,6,1,4607,195,4802,4388,85,4473,4607,85,4692,110,110,109,143,33,25
dev_0089,7,1,5113,189,5302,4902,88,4990,5113,88,5201,101,101,110,132,31,23
dev_0089,8,1,5543,191,5734,5337,86,5423,5543,86,5629,105,105,101,139,34,26
dev_0088,1,1,1126,121,1247,1041,36,1077,1126,36,1162,85,85,0,111,26,18
dev_0088,2,1,1985,178,2163,1809,87,1896,1985,87,2072,91,91,85,120,29,21
dev_0088,3,1,2869,137,3006,2684,43,2727,2869,43,2912,94,94,91,127,33,25
dev_0088,4,1,3303,162,3465,3124,77,3201,3303,77,3380,85,85,94,114,29,21
dev_0088,5,1,3969,154,4123,3804,74,3878,3969,74,4043,80,80,85,109,29,21
dev_0088,6,1,4296,192,4488,4118,94,4212,4296,94,4390,98,98,80,127,29,21
dev_0088,7,1,4691,167,4858,4504,78,4582,4691,78,4769,89,89,98,118,29,21
dev_0088,8,1,5503,133,5636,5322,41,5363,5503,41,5544,92,92,89,123,31,23
dev_0088,9,1,6238,190,6428,6055,99,6154,6238,99,6337,91,91,92,129,38,30
dev_0090,1,1,1149,114,1263,1069,34,1103,1149,34,1183,80,80,0,104,24,16
dev_0090,2,1,1867,139,2006,1690,42,1732,1867,42,1909,97,97,80,129,32,24
dev_0090,3,1,2922,168,3090,2737,80,2817,2922,80,3002,88,88,97,123,35,27
dev_0090,4,1,3426,167,3593,3259,88,3347,3426,88,3514,79,79,88,117,38,30
dev_0090,5,1,4069,191,4260,3893,94,3987,4069,94,4163,97,97,79,138,41,33
dev_0090,6,1,4994,188,5182,4808,99,4907,4994,99,5093,89,89,97,130,41,33
dev_0090,7,1,5935,211,6146,5734,99,5833,5935,99,6034,112,112,89,167,55,47
dev_0090,8,1,7427,241,7668,7178,104,7282,7427,104,7531,137,137,112,192,55,47
dev_0098,1,1,982,131,1113,897,46,943,982,46,1028,85,85,0,121,36,28
dev_0098,2,1,1692,178,1870,1508,79,1587,1692,79,1771,99,99,85,135,36,28
dev_0098,3,1,3081,183,3264,2878,79,2957,3081,79,3160,104,104,99,140,36,28
dev_0098,4,1,3486,199,3685,3265,82,3347,3486,82,3568,117,117,104,152,35,27
dev_0098,5,1,4198,169,4367,3993,81,4074,4198,81,4279,88,88,117,116,28,20
dev_0096,1,1,1323,112,1435,1250,39,1289,1323,39,1362,73,73,0,102,29,21
dev_0096,2,1,2069,139,2208,1897,40,1937,2069,40,2109,99,99,73,129,30,22
dev_0096,3,1,2760,176,2936,2570,85,2655,2760,85,2845,91,91,99,125,34,26
dev_0096,4,1,3345,170,3515,3166,82,3248,3345,82,3427,88,88,91,122,34,26
dev_0096,5,1,4005,167,4172,3838,88,3926,4005,88,4093,79,79,88,113,34,26
dev_0096,6,1,4520,167,4687,4356,82,4438,4520,82,4602,85,85,79,119,34,26
dev_0100,1,1,1436,115,1551,1367,46,1413,1436,46,1482,69,69,0,105,36,28
dev_0100,2,1,2001,187,2188,1825,80,1905,2001,80,2081,107,107,69,138,31,23
dev_0100,3,1,2735,187,2922,2526,85,2611,2735,85,2820,102,102,107,139,37,29
dev_0100,4,1,3243,156,3399,3067,82,3149,3243,82,3325,74,74,102,108,34,26
dev_0100,5,1,3874,179,4053,3713,92,3805,3874,92,3966,87,87,74,128,41,33
dev_0087,1,1,2034,181,2215,1928,75,2003,2034,75,2109,106,106,0,141,35,27
dev_0087,2,1,3036,194,3230,2815,79,2894,3036,79,3115,115,115,106,147,32,24
dev_0087,3,1,3545,192,3737,3328,90,3418,3545,90,3635,102,102,115,140,38,30
dev_0087,4,1,3941,195,4136,3730,86,3816,3941,86,4027,109,109,102,145,36,28
dev_0087,5,1,4503,181,4684,4297,84,4381,4503,84,4587,97,97,109,130,33,25
dev_0087,6,1,5064,182,5246,4871,86,4957,5064,86,5150,96,96,97,132,36,28
dev_0087,7,1,5987,181,6168,5790,80,5870,5987,80,6067,101,101,96,133,32,24
dev_0087,8,1,6637,197,6834,6435,96,6531,6637,96,6733,101,101,101,138,37,29
dev_0087,9,1,7331,184,7515,7136,90,7226,7331,90,7421,94,94,101,129,35,27
dev_0087,10,1,7964,165,8129,7787,82,7869,7964,82,8046,83,83,94,115,32,24
dev_0094,1,1,1496,162,1658,1411,77,1488,1496,77,1573,85,85,0,109,24,16
dev_0094,2,1,2419,174,2593,2247,87,2334,2419,87,2506,87,87,85,122,35,27
dev_0094,3,1,3236,171,3407,3058,80,3138,3236,80,3316,91,91,87,124,33,25
dev_0094,4,1,3745,197,3942,3554,97,3651,3745,97,3842,100,100,91,137,37,29
dev_0094,5,1,4327,177,4504,4133,83,4216,4327,83,4410,94,94,100,124,30,22
dev_0094,6,1,5083,174,5257,4895,80,4975,5083,80,5163,94,94,94,125,31,23
dev_0094,7,1,5977,206,6183,5772,95,5867,5977,95,6072,111,111,94,146,35,27
dev_0094,8,1,6601,215,6816,6370,95,6465,6601,95,6696,120,120,111,163,43,35
dev_0094,9,1,6902,183,7085,6685,86,6771,6902,86,6988,97,97,120,137,40,32
dev_0115,1,1,1673,104,1777,1612,43,1655,1673,43,1716,61,61,0,94,33,25
dev_0115,2,1,2139,107,2246,2009,38,2047,2139,38,2177,69,69,61,97,28,20
dev_0115,3,1,2813,112,2925,2669,37,2706,2813,37,2850,75,75,69,102,27,19
dev_0115,4,1,3303,115,3418,3150,37,3187,3303,37,3340,78,78,75,105,27,19
dev_0115,5,1,4240,123,4363,4087,48,4135,4240,48,4288,75,75,78,113,38,30
dev_0104,1,1,1353,144,1497,1250,41,1291,1353,41,1394,103,103,0,134,31,23
dev_0104,2,1,2167,133,2300,1979,48,2027,2167,48,2215,85,85,103,123,38,30
dev_0104,3,1,2924,135,3059,2752,48,2800,2924,48,2972,87,87,85,125,38,30
dev_0104,4,1,3461,184,3645,3273,83,3356,3461,83,3544,101,101,87,138,37,29
dev_0104,5,1,3884,203,4087,3666,86,3752,3884,86,3970,117,117,101,158,41,33
dev_0104,6,1,4872,155,5027,4671,71,4742,4872,71,4943,84,84,117,120,36,28
dev_0099,1,1,1149,96,1245,1094,41,1135,1149,41,1190,55,55,0,86,31,23
dev_0099,2,1,1976,172,2148,1842,93,1935,1976,93,2069,79,79,55,110,31,23
dev_0099,3,1,2802,140,2942,2632,49,2681,2802,49,2851,91,91,79,130,39,31
dev_0099,4,1,4391,201,4592,4186,87,4273,4391,87,4478,114,114,91,153,39,31
dev_0099,5,1,5243,192,5435,5013,76,5089,5243,76,5319,116,116,114,144,28,20
dev_0099,6,1,5881,187,6068,5661,83,5744,5881,83,5964,104,104,116,143,39,31
dev_0099,7,1,6934,164,7098,6752,86,6838,6934,86,7020,78,78,104,117,39,31
dev_0099,8,1,7337,167,7504,7176,84,7260,7337,84,7421,83,83,78,122,39,31
dev_0099,9,1,7901,162,8063,7741,85,7826,7901,85,7986,77,77,83,115,38,30
dev_0114,1,1,1185,153,1338,1117,85,1202,1185,85,1270,68,68,0,90,22,14
dev_0114,2,1,1686,152,1838,1546,80,1626,1686,80,1766,72,72,68,100,28,20
dev_0114,3,1,1945,160,2105,1798,85,1883,1945,85,2030,75,75,72,101,26,18
dev_0114,4,1,2388,150,2538,2233,70,2303,2388,70,2458,80,80,75,107,27,19
dev_0114,5,1,3075,160,3235,2919,84,3003,3075,84,3159,76,76,80,108,32,24
dev_0114,6,1,3776,172,3948,3607,79,3686,3776,79,3855,93,93,76,124,31,23
dev_0112,1,1,1386,115,1501,1313,42,1355,1386,42,1428,73,73,0,105,32,24
dev_0112,2,1,2044,137,2181,1882,48,1930,2044,48,2092,89,89,73,127,38,30
dev_0112,3,1,2791,176,2967,2621,95,2716,2791,95,2886,81,81,89,122,41,33
dev_0112,4,1,3104,128,3232,2937,42,2979,3104,42,3146,86,86,81,118,32,24
dev_0112,5,1,3363,171,3534,3179,73,3252,3363,73,3436,98,98,86,131,33,25
dev_0112,6,1,3985,136,4121,3796,45,3841,3985,45,4030,91,91,98,126,35,27
dev_0112,7,1,5083,173,5256,4901,82,4983,5083,82,5165,91,91,91,127,36,28
dev_0113,1,1,1239,128,1367,1155,44,1199,1239,44,1283,84,84,0,118,34,26
dev_0113,2,1,2050,120,2170,1885,39,1924,2050,39,2089,81,81,84,110,29,21
dev_0113,3,1,2770,157,2927,2614,82,2696,2770,82,2852,75,75,81,106,31,23
dev_0113,4,1,3575,149,3724,3421,70,3491,3575,70,3645,79,79,75,109,30,22
dev_0113,5,1,3771,154,3925,3609,71,3680,3771,71,3842,83,83,79,118,35,27
dev_0113,6,1,4602,206,4808,4413,100,4513,4602,100,4702,106,106,83,142,36,28
dev_0113,7,1,5475,187,5662,5284,102,5386,5475,102,5577,85,85,106,125,40,32
dev_0105,1,1,872,107,979,800,35,835,872,35,907,72,72,0,97,25,17
dev_0105,2,1,1466,113,1579,1324,43,1367,1466,43,1509,70,70,72,103,33,25
dev_0105,3,1,2107,128,2235,1951,42,1993,2107,42,2149,86,86,70,118,32,24
dev_0105,4,1,2623,163,2786,2444,70,2514,2623,70,2693,93,93,86,125,32,24
dev_0105,5,1,3667,168,3835,3459,53,3512,3667,53,3720,115,115,93,158,43,35
dev_0105,6,1,3909,170,4079,3705,81,3786,3909,81,3990,89,89,115,123,34,26
dev_0105,7,1,4852,165,5017,4685,87,4772,4852,87,4939,78,78,89,115,37,29
dev_0105,8,1,5282,144,5426,5144,84,5228,5282,84,5366,60,60,78,97,37,29
dev_0105,9,1,5733,155,5888,5606,88,5694,5733,88,5821,67,67,60,104,37,29
dev_0107,1,1,1473,118,1591,1396,41,1437,1473,41,1514,77,77,0,108,31,23
dev_0107,2,1,2393,154,2547,2231,69,2300,2393,69,2462,85,85,77,113,28,20
dev_0107,3,1,3251,159,3410,3094,87,3181,3251,87,3338,72,72,85,108,36,28
dev_0107,4,1,3763,174,3937,3603,86,3689,3763,86,3849,88,88,72,129,41,33
